frame-00169.bmp: radius 2.528125e-02, zoom level 3.955500e+01
frame-00513.bmp: radius 1.418046e-05, zoom level 7.051955e+04
frame-00512.bmp: radius 1.449243e-05, zoom level 6.900152e+04
frame-00531.bmp: radius 9.584607e-06, zoom level 1.043340e+05
frame-00388.bmp: radius 2.153042e-04, zoom level 4.644592e+03
frame-00533.bmp: radius 9.176404e-06, zoom level 1.089751e+05
frame-00387.bmp: radius 2.200409e-04, zoom level 4.544611e+03
frame-00529.bmp: radius 1.001097e-05, zoom level 9.989043e+04
frame-00391.bmp: radius 2.016971e-04, zoom level 4.957928e+03
frame-00390.bmp: radius 2.061345e-04, zoom level 4.851202e+03
frame-00530.bmp: radius 9.795469e-06, zoom level 1.020880e+05
frame-00532.bmp: radius 9.378285e-06, zoom level 1.066293e+05
frame-00523.bmp: radius 1.140726e-05, zoom level 8.766344e+04
frame-00525.bmp: radius 1.092144e-05, zoom level 9.156306e+04
frame-00476.bmp: radius 3.172295e-05, zoom level 3.152292e+04
frame-00517.bmp: radius 1.299831e-05, zoom level 7.693308e+04
frame-00468.bmp: radius 3.775555e-05, zoom level 2.648617e+04
frame-00471.bmp: radius 3.536943e-05, zoom level 2.827300e+04
frame-00527.bmp: radius 1.045630e-05, zoom level 9.563615e+04
frame-00503.bmp: radius 1.762785e-05, zoom level 5.672841e+04
frame-00521.bmp: radius 1.191470e-05, zoom level 8.392990e+04
frame-00508.bmp: radius 1.581048e-05, zoom level 6.324920e+04
frame-00461.bmp: radius 4.396803e-05, zoom level 2.274380e+04
frame-00452.bmp: radius 5.348046e-05, zoom level 1.869842e+04
frame-00462.bmp: radius 4.302156e-05, zoom level 2.324416e+04
frame-00495.bmp: radius 2.098005e-05, zoom level 4.766432e+04
frame-00453.bmp: radius 5.232921e-05, zoom level 1.910978e+04
frame-00509.bmp: radius 1.547013e-05, zoom level 6.464069e+04
frame-00496.bmp: radius 2.052843e-05, zoom level 4.871294e+04
frame-00469.bmp: radius 3.694281e-05, zoom level 2.706887e+04
frame-00470.bmp: radius 3.614756e-05, zoom level 2.766439e+04
frame-00463.bmp: radius 4.209546e-05, zoom level 2.375553e+04
frame-00450.bmp: radius 5.585948e-05, zoom level 1.790206e+04
frame-00535.bmp: radius 8.785586e-06, zoom level 1.138228e+05
frame-00455.bmp: radius 5.010054e-05, zoom level 1.995986e+04
frame-00537.bmp: radius 8.411413e-06, zoom level 1.188861e+05
frame-00536.bmp: radius 8.596464e-06, zoom level 1.163269e+05
frame-00490.bmp: radius 2.339166e-05, zoom level 4.275028e+04
frame-00491.bmp: radius 2.288812e-05, zoom level 4.369078e+04
frame-00510.bmp: radius 1.513712e-05, zoom level 6.606278e+04
frame-00474.bmp: radius 3.313412e-05, zoom level 3.018037e+04
frame-00492.bmp: radius 2.239542e-05, zoom level 4.465198e+04
frame-00493.bmp: radius 2.191333e-05, zoom level 4.563432e+04
frame-00539.bmp: radius 8.053176e-06, zoom level 1.241746e+05
frame-00542.bmp: radius 7.544222e-06, zoom level 1.325518e+05
frame-00511.bmp: radius 1.481127e-05, zoom level 6.751616e+04
frame-00538.bmp: radius 8.230345e-06, zoom level 1.215016e+05
frame-00504.bmp: radius 1.724839e-05, zoom level 5.797643e+04
